"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"27",8.3,6.5,7.7,7.8,7.8,8,8.2,7.7,9.8,7.5,6.8,8,6.9,7.1,7.8,6.2,7.7,6.2,6.4,7.3,7.1,7.6,7.9,6.3,7.7,6.7,8,7,6.5,7.3,7.8,5.3,6.9,7.5,8.2,6.8
"28",7.2,6.3,6.5,7.3,7.3,7.1,6.6,7.2,7.5,7.4,7.4,6.1,6.2,7.5,8,5.7,6.3,5.9,7,8.2,6.7,6.3,6.4,6.7,6.9,6.9,7.4,7.1,6.6,7.6,7.8,6.4,7.5,6.1,5.9,7.5
"29",8.5,9.7,7.9,7.6,6.4,8.3,10.2,9.7,6.8,7.8,8.9,7.6,9.1,6,5.9,7.4,6.5,8,6.3,4.8,7.3,6,8.1,6.4,4.8,7.2,6.5,6.3,7.4,6.9,5.9,6.2,7.8,6.1,6.7,6.7
"30",6.2,6.6,7.1,7.5,7.3,7.9,7.4,6.4,8.4,6.8,8.4,6.7,8.5,8.8,7,7.1,5.8,6.7,7.7,7.2,6,7,9.5,8.1,8.7,5.4,7.3,9.4,8.4,6.7,6.6,6.1,7,9.4,9.9,9.4
"31",5.8,5.9,7.6,4.7,4,9.5,11.1,7,7.8,4.8,6.7,7.2,9.6,6.7,8.5,6,6.4,7.6,7.2,6.2,7,6,6.9,5.6,5,6.7,5.3,5.4,7.3,5.6,7.5,6.2,5.4,6.5,8.3,7.3
"32",4.8,5.1,6.1,5,5.5,9,5.8,6.3,5,3.2,9,10.1,5,7.1,7.4,5.3,9,8,6.4,6.1,6.7,7.2,8.2,9.6,9.2,4,5.4,7.5,7.2,9,6.7,5.2,6.9,9,8.6,5.6
"33",6.1,5.3,8.4,7.1,5.8,6.4,4.8,4.6,6.7,5.1,6.4,5,10.1,5.1,9.9,6.4,4.4,4.7,6.5,4.9,4.4,8.3,5.1,8.9,5.6,5.7,6.6,6.4,3.7,5.6,7.3,7.8,3.5,6.6,7.1,6.8
"34",6.7,7.3,9.3,6.4,4.9,7.6,2.9,5.4,7.1,7.9,7.1,6.7,7.7,8.6,7.1,3.3,5.8,5.4,7.8,7.8,4.2,6,6.3,6.6,6.5,5.6,3.3,3.7,7,6,9.4,6.6,7.4,9.7,8.1,7.9
"35",7.6,8.2,5.5,6.5,6.3,5.3,7.9,5,4.7,6,8.5,5.2,9.4,5.1,7.5,5.1,4.4,6.5,8.3,5.6,7.5,5.8,9.7,8,8.7,5.2,7.5,6.5,8.2,8.3,7.4,6.3,6.2,5.8,3.7,6.3
"36",8.7,5.4,5.6,4.3,4.6,6.7,5.4,4.6,4.6,3.2,7.5,5,3.9,9.3,3.6,6.3,3.6,6.5,4.8,7.9,6.1,3.9,6,4.6,7.4,6.2,7.2,4.9,6.4,6.4,6.8,5.6,4.5,3.6,8.1,4.2
"37",5.5,8.3,7.7,5.1,3.9,5,5.9,6.2,5.1,6,6.9,6.3,6.9,7.5,5.6,7.3,5.8,6.8,7.5,9.3,7.4,6,6.3,4.8,6.8,5.3,7,6.3,7.1,7.3,8.4,6.5,6.1,6.7,6.2,7.4
"38",3.7,8.1,8,3.9,4.9,4.4,4.9,4.2,5.6,4.7,6.7,5.5,4.8,4.6,3.9,4.8,6.2,6.1,7.5,7.3,7.2,5.7,4.3,3.4,6.3,7.5,7.5,7.8,4.3,6.5,6.2,7.2,7.1,5.8,5.5,5
"39",6.7,7.1,8.3,7.4,8.4,7.6,5.2,5.4,9.2,9.6,6.2,8.1,6.1,6.5,9.4,7,6.1,8.1,5.7,7.3,7.4,6.7,7.2,6.6,8.6,8.4,5.6,6.4,9,6.5,8.5,5.3,7.6,7.6,7.4,10.2
"40",8.3,7.9,9,8.7,6.2,7.5,8.4,6.6,9.2,7.1,6.3,9,7.2,8.5,6.2,5,5.7,5.9,7.5,5.7,7.1,7.1,6.5,6.3,5.1,4.1,5.8,8.2,5.4,4.5,6.9,6,5.3,8.1,5.5,6.8
"41",6.2,6.1,6.1,6.3,6.1,5.9,6.2,6.3,6.1,6.3,6.1,6.2,6.2,6.3,6.4,6.3,6.6,6.7,6.6,6.5,6.9,6.6,6.7,6.8,6.7,6.8,6.7,7,7.1,7,7.1,7.2,7.3,7.5,7.4,7.2
"42",7.9,7.3,7.6,7.6,7.5,7.1,7.3,8,7.5,7.5,7.5,7.6,7.4,7.3,7.5,7.6,7.5,7.1,7.6,7.4,7.2,7.3,7.2,7.6,7.4,7.3,7.3,7.7,7.5,7.8,7.7,7.2,7.2,7.4,7.5,7.9
"43",7.6,7.1,7,7.2,7,7.2,6.9,7,7.1,6.8,7,6.9,7.1,7,7.3,7,7.1,7.2,6.9,7,7.1,6.9,7,6.8,7,6.8,7.2,6.9,7.2,6.9,7,6.9,7.1,6.9,7.3,6.8
"44",7.1,6.7,6.9,6.6,6.7,6.9,6.9,6.8,6.5,6.5,6.6,7,6.7,6.5,6.5,6.7,6.8,5.6,6.7,6.6,6.7,6.9,6.9,6.4,6.8,6.5,6.6,6.5,6.8,6.4,6.7,6.6,6.6,6.8,6.7,6.6
"45",7.2,7,6.9,6.9,7.1,7.3,7.3,7.5,7.4,7,7.2,7.1,7.2,6.5,6.8,6.9,7.1,7,7.1,6.8,7.1,7.5,7,7,6.8,6.5,7,7.2,6.7,6.9,7.1,7,6.9,6.8,7,7.2
"46",7,6.7,6.3,6.6,6.8,6.5,6.3,6.4,6.8,6.9,6.8,6.9,6.4,6.8,6.6,6.3,6.6,6.4,6.6,6.4,6.5,6.3,6.2,6.5,6.4,6.3,6.4,6.7,6.2,6.3,6.6,6.5,6.7,6.5,6.3,6.4
"47",7.6,7.6,7.5,7,7.4,7.5,7.4,7.4,7,7.3,7.3,7.4,7.7,7.2,7.7,7.2,7.5,7.3,7.2,7.1,7.3,7.3,7.7,7.3,7.4,7.2,7.4,7.2,7.4,7.3,7.5,7.3,7.3,7.4,7.1,7.5
"48",6.6,6.6,6.5,6.4,6.8,6.6,6.8,6.6,6.9,6.8,6.9,6.4,6.7,6.6,6.3,6.6,6.3,6.8,6.6,6.6,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.4,6.3,6.6,6.9,6.6,6.5,6.2,6.9,6.5
"49",6.2,6.1,6,5.9,6,6.1,6.1,6.2,6.2,6.2,6.1,6.1,5.9,6.1,6.4,6.1,6,6.1,6.1,6,6.3,6.3,6,6.1,6.3,6.5,6.1,6.3,6.5,6.2,6.3,6,6.5,6.5,6.4,6.2
"50",7,7,6.8,5.9,7.2,6.7,6.8,7.1,7,6.5,6.9,7.1,6.9,6.9,6.8,6.9,6.8,7,6.8,6.8,6.9,7,6.9,6.9,6.8,6.9,6.8,6.9,6.4,6.6,6.5,6.8,6.6,6.4,6.8,6.8
"51",6.5,6.4,6.3,6.6,6.4,6.4,6.2,6.3,6.4,6.4,6.4,6.1,6.3,6.5,6.5,6.5,6.2,6.4,6.3,6.3,6.1,6.4,6.2,6.3,5.8,6.5,6,6.5,6.5,6.4,6.2,6.4,6.4,6.2,6.2,6.3
"52",6.7,6.8,6.9,6.9,6.6,6.8,6.8,6.9,6.4,6.9,6.8,6.7,6.9,6.6,6.5,6.4,6.6,6.5,6.8,6.3,6.5,6.5,6.7,6.5,6.3,6.3,6.7,6.5,6.8,6.6,6.6,6.4,6.4,6.5,6.6,6.7
"53",6.2,6.1,6.1,6.4,6,6.2,5.7,5.9,6.1,6.2,5.7,6.2,5.8,5.8,5.7,6.1,5.9,5.8,5.8,6,5.9,5.9,5.9,6,6,6,5.7,6.2,6,5.6,6.1,6.1,6,5.9,6,6
"54",5.8,6,5.2,5.7,5.7,5.6,5.3,5.3,6,5.6,5.6,5.3,5.7,5.5,5.6,5.3,5.5,5.8,5.2,5.5,5.4,5.7,5.2,5.2,5.6,5.6,5.3,5.4,5.5,5.1,5.6,5.6,5.2,5.5,5.7,5.7
"55",5.9,5.8,5.6,5.9,6,5.5,5.7,5.8,5.8,6,6,6.1,5.6,5.7,5.9,6.1,5.9,5.5,5.6,5.9,5.9,5.6,6.1,6.2,5.8,6.1,5.7,6.1,5.8,5.6,6,6.1,5.9,5.9,6.1,6.1
"56",5.5,5.2,5.1,5.1,5.5,5.1,5.3,5.4,5.2,5.3,5.3,5.3,5.2,5.4,5.4,5.2,5.5,5.2,5.4,5.4,5.5,5.1,4.7,5.3,5.5,5,5.4,5.1,5.1,5,5,5.2,5,5.5,5.1,5.4
"57",6.5,6,6.1,6.2,6.4,6.4,6.1,6.5,6.3,6.2,6.1,6.4,6.3,6.1,6.1,6.4,6.5,6.2,6.4,6.4,6.3,6,6.3,6.2,6.5,6.4,6.2,6.2,6.2,6.1,6.3,6.6,6.2,6.3,6.4,6.4
"58",6.1,6.4,6.6,6.1,6.5,6.2,6.2,6.4,6.3,6,6.3,6.7,6.5,6.3,6.4,6.2,6.3,6.4,6.2,6.5,6.5,6.1,6.3,6.3,6.5,6.2,6.3,6.5,6.1,6.4,6.2,6.4,6.1,5.9,6,6.5
"59",7,6.8,6.3,6.4,6.6,6.8,6.9,6.6,6.7,6.8,6.8,6.9,6.7,6.8,6.6,6.7,6.7,6.8,6.8,6.9,6.8,7,6.9,6.6,6.7,6.9,6.9,6.6,6.9,7,7,7.1,7.1,7,7.1,6.9
"60",7.2,7.1,6.9,6.8,7.3,7,7,6.8,7,7,6.8,6.8,7,6.6,6.9,6.8,7,6.8,6.9,7.1,7.4,7.1,7.2,6.8,6.9,6.7,7,7.1,7.1,6.9,7.2,6.8,7,7,7.2,6.9
"61",6.6,5.7,5.9,6.5,6.3,6.2,6,6.1,6.3,6.2,6.2,6.5,6.2,6.3,6.1,6.4,6,6.3,6.3,6.3,6.4,6.1,6.2,6.5,6.3,6.3,6.4,6,6.2,6.3,6,6.2,6.5,6.3,6.2,6.4
"62",7.6,7.8,7.4,7.4,7.6,7.5,7.2,7.6,7.5,7.3,7.5,7.4,7.4,6.9,7.5,6.3,7.3,7.4,7.4,7.4,7.3,7.6,7.6,7.5,7.1,7.3,7,7.7,7.4,7.5,7.7,7.6,7.5,7.3,7.2,7.5
"63",7.4,6.7,7.3,7.2,6.9,7,7.3,7.2,7.2,6.9,6.7,6.9,6.8,6.7,6.9,7.2,6.9,6.8,6.7,6.7,6.9,7.1,7.1,7,6.9,7,6.8,6.9,7,7.2,7.1,7.1,7.6,6.8,6.7,6.5
"64",7.4,7.2,7.2,7.3,7.2,7.3,7.2,7.1,7,7.2,7.2,7.3,7,7,7.3,7.1,6.7,6.7,6.8,7.2,7.1,6.9,6.8,6.8,6.9,7.2,7.1,7.1,7.2,6.7,7.2,7.3,7.1,7.1,7.1,6.7
