"","unemp","gnp","consum","govinv","prinv"
"141",10.2,3258.3,2135.1,629.7,486.9
"142",9.4,3306.4,2163,642.5,524.8
"143",8.8,3365.1,2191.9,660.1,577.2
"144",8.1,3451.7,2212.1,649.2,655.2
"145",7.7,3498,2246.7,650.9,658.4
"146",7.4,3520.6,2257.3,653.6,664.2
"147",7.3,3535.2,2281.1,642.2,655.7
"148",7.4,3577.5,2319.1,653,634.3
"149",7.3,3599.2,2337.4,680.2,647.5
"150",7.3,3635.8,2375.9,684.5,618.1
"151",7.1,3662.4,2386.9,693.2,648
"152",6.7,3721.1,2410.9,705.5,676.1
"153",7.1,3704.6,2432.4,716.7,642.3
"154",7,3712.4,2464.4,749.8,625.1
"155",6.9,3733.6,2477.8,752.7,615.2
"156",6.7,3783,2478.3,744.1,646.3
"157",6.3,3823.5,2507.7,761.2,656.7
"158",6,3872.8,2536.5,765.2,671.7
"159",6,3935.6,2532.3,776,721.1
"160",5.8,3974.8,2570.8,776.6,707
"161",5.4,4010.7,2586.8,774.9,713.5
