"","tmort","rmort","cmort","tempr","rh","co","so2","no2","hycarb","o3","part"
"28",165.43,6.75,83.96,86.1,55.66,9.8,4.48,14.95,75.04,15.25,55.05
"29",173.21,8.33,84.95,82.16,58.61,8.93,3.96,13.82,59.35,17.4,48
"30",171.31,8.41,86.81,81.31,64.73,9.81,3.65,12.62,58.82,13.97,55.37
"31",166.96,6.53,85.25,78.99,60.08,12.34,4.91,18.51,86.87,16.19,64.44
"32",181.75,8.21,94.72,92.56,28.69,16.32,4.26,16.52,75.19,11.55,75
"33",174.04,7.75,90.96,84.5,55.63,13.61,4.02,18.61,83.38,13.75,61.46
"34",168.36,7.76,87.73,76.44,58,11.64,2.95,12.91,58.92,9.44,50.04
"35",172.41,7.16,92.58,73.97,75.34,10.19,3.73,12.97,64.79,13.38,49.9
"36",167.55,7.47,87.02,69.63,65.55,9.76,2.02,7.86,47.9,3.53,51.14
"37",175.63,9.63,92.68,81.05,36.88,22.19,4.98,23.97,100.12,11.43,77.88
"38",176.4,7.56,97.95,69.57,76.52,11.02,3.05,12.81,65.56,5.08,46.71
"39",182.88,6.93,94.19,78.05,37.25,19.36,3.73,17.52,78.06,6.32,73.86
"40",180.92,6.78,93.95,70.61,62.42,20.55,3.53,19.35,81.84,7.9,76.87
"41",170,5.53,92.29,60.95,70.8,10.82,2.24,7.55,52.42,2.97,39.85
"42",180.78,10.51,93.48,67.74,60.77,20.05,3.03,11.19,85.3,3.85,71.52
"43",179.58,8.32,97.41,68.5,48.97,18.6,2.81,10.94,72.77,4.16,63.87
"44",184.82,9.18,96.98,54.84,76.25,11.9,2,6.69,56.24,2.36,48.81
"45",189.37,8.79,106.6,60.58,58.66,16.83,2.27,9.43,68.28,2.3,68.82
"46",200.23,8.31,112.41,62.14,51.86,14.66,2.9,12.78,64.06,3.07,64.39
"47",212.24,12.39,118.59,51.26,51.46,13.6,3.31,7.84,71.53,2,81.76
"48",203.75,12.42,107.9,72.55,58.51,20.29,3.44,17.34,83.08,5.61,73.55
"49",202.2,14.08,111.82,64.42,70.89,14.13,3.13,14.38,75.71,8.05,67.99
"50",188.99,13.93,102.78,78.25,41.46,22.39,4.42,23.2,82.09,5.7,75.37
"51",190.97,12.15,100.63,59.17,72.19,11.15,3.6,16.54,66.85,6.32,65.23
"52",206.97,12.63,106.54,80.89,42.12,19.96,4.86,24.01,84.11,10.17,69.91
"53",186.71,11.03,105.39,58.63,65.19,8.41,1.79,7.51,47.3,3.24,44.34
"54",192.81,10.84,104.99,62.5,39.24,7.36,2.95,7.94,47.77,4.86,40.8
"55",196.23,9.26,102.72,67.52,36,11.45,3.64,11.79,71.76,4.64,55.09
"56",185.62,11.78,104.67,63.56,62.52,6.63,2.79,8.11,56.8,5.05,38.44
"57",202.41,16.05,103.3,74.87,49.33,10.11,3.77,13.22,73.64,7.79,53.54
"58",182.37,12.12,98.46,64.98,76.15,6.23,3.25,11.36,53.83,8.63,42.46
"59",188.66,10.05,100.78,82.7,36.28,11.15,4.78,15.95,66.88,11.03,53.22
"60",174.09,8.38,94.43,72.63,55.55,7.92,3.37,11.16,60.33,10.83,44.41
"61",166.78,6.94,92.16,65.36,64.93,5.38,2.24,7.83,42.39,5.91,31.29
"62",167.18,8.32,92.13,63.33,53.69,5.63,2,7.32,42.35,5.09,31.1
"63",175.92,6.66,95.04,66.1,65.67,5.72,2.78,8.96,40.36,6.87,35.92
"64",161.66,7.78,86.88,64.85,67.61,6.41,2.38,8.22,45.93,5.12,37.73
"65",175.37,6.94,95.29,76.37,62.44,6.27,3.27,10.72,51.42,10.16,35
"66",165.55,6.75,85.39,75.27,49.66,6.35,2.82,10.58,49.76,8.72,36.25
"67",169.82,6.56,92.63,65.15,71.13,3.4,2.23,6.7,35.06,4.2,22.75
"68",179.47,6.12,88.72,69.62,63.79,4.7,1.95,9.06,46.43,8.26,32.26
"69",170.36,6.81,87.09,72.81,68.47,5.09,2.57,10.39,44.46,8.59,34.77
"70",170.16,6.45,83.92,85.57,55.88,7.92,4.94,20.36,70.03,18.67,52.73
"71",167.49,6.81,89.01,78.58,65.65,5.1,3.45,11.32,38,11.29,36.59
"72",163.16,7.1,78.14,77.32,65.21,4.73,2.83,9.61,40.57,10.67,30.04
"73",175.13,7.46,92.84,87.27,50.89,7.96,4.75,18.09,61.38,16.52,49.91
"74",171.64,7.37,88.65,86.29,57.09,6.28,3.49,14.36,52.93,11.74,42.6
"75",163.77,6.54,86.66,83.55,64.87,5.46,3.84,11.35,38.63,13.85,35.89
"76",166.97,7.87,82.04,88.57,56.99,6.88,4.08,14.7,50.95,13.23,41.76
"77",192.59,9.19,105.15,95.34,46.56,8.86,6.49,18.2,60.06,16.8,47.03
"78",175.17,7.8,94.19,88.18,59.09,6.37,4.05,11.12,48.86,11.17,36.62
"79",160.42,6.94,83.99,82.71,66.41,4.64,3.12,7.87,36.23,11.6,31.4
"80",172.59,6.14,88.22,89.8,49.83,9.06,4.83,13.42,63.33,15.61,46.76
"81",166.43,7.38,85.59,81.63,63.94,4.92,3.35,9.16,49.68,11.08,30.6
"82",184.67,8.03,99.21,98.95,43.45,12.41,6.53,21.15,79.61,19.37,60.58
"83",168.71,8.77,87.77,82.58,66.54,5.63,3.1,9.58,41.3,8.72,33.3
"84",170.79,4.57,90.39,79.74,56.69,9.57,3.53,12.77,60.38,10.67,50.08
"85",165.98,8.89,82.25,77.31,46.55,9.21,2.34,9.86,44.48,5.2,46.99
"86",187.1,9.25,102.92,99.88,29.94,17.13,6.57,23.1,88.8,16.91,73.07
"87",164.1,8.19,86.84,69.19,64.1,7.22,4.07,11.63,40.95,6.36,50.28
"88",183.75,9.11,97.22,76.29,50.73,13.53,3.62,14.5,72.73,7.61,71.6
"89",174.68,9.03,94.97,64.28,44.22,8.43,1.92,6.9,43.4,2.77,50.09
"90",189.7,9.18,104.86,78.61,51.21,16.81,6.04,22.79,78.48,8.39,82.85
"91",163.23,6.87,80.53,65.87,65.85,9.9,3.92,15.76,55.68,4.47,58.36
"92",174.79,7.3,102.47,68.18,45.62,14.13,3.11,10,59.88,3.03,62.63
"93",177.87,6.11,97.8,65.98,74.52,13.42,3.77,18.71,72.49,5.71,71.27
"94",180.78,6.83,95.28,63.95,44.66,9.76,3.05,7.95,47.26,1.59,50.85
"95",187.53,9.82,105.64,57.65,49.77,11.27,2.84,9.12,50.55,2.29,65.13
"96",187.38,9.13,106.44,64.27,43.5,15.63,4.19,12.37,67.52,2.12,74.74
"97",199.58,12.09,110.65,55.18,93.01,7.79,1.93,5.64,39.03,1.46,39.59
"98",212.96,13.59,114.41,63.52,45.42,12.95,3.36,9.08,59.88,2.64,69.67
"99",206.97,13.19,115.98,63.95,55.25,16.95,5.92,15.92,77.36,3.13,84.23
"100",205,15.44,112.72,69.91,54.59,19.75,5.49,21.9,86.99,3.07,84.96
"101",208.26,13.57,115.99,58.9,76.87,10.55,4.97,15.58,63.41,3.92,67.68
"102",193.27,16.41,104.14,65.25,44.82,13.33,2.53,8.94,61.86,3.43,58.62
"103",196.53,11.27,109.3,62.79,54.94,11.42,3.98,12.4,63.13,3.35,57.02
"104",200.71,13.52,111.47,71.43,47.33,13.62,3.15,14.74,69.46,5.78,64.58
"105",193.93,14.86,102.67,68.72,69.03,12.02,5.44,19.2,72.74,7.8,63.25
"106",182.12,9.24,101.34,66.96,69.19,10.46,4.92,14.04,71.28,8.76,56.92
"107",176.6,9.18,94.97,75.68,61.63,7.81,4.9,15.5,61.84,8.17,46.59
"108",167.46,7.93,90.48,68.57,77.31,8.25,4.82,15.19,57.08,9.73,49.2
"109",177.2,9.75,93.7,68.62,76.62,6.46,4.48,13.1,45.89,11.59,48.55
"110",161.35,8.47,81.87,69.61,61.01,7.51,3.89,10.54,51.25,7.83,39.16
"111",166.63,7.62,91.12,71.89,50.68,7.85,3.75,11.38,55.7,8.35,43.59
"112",164.15,7.57,90.55,73.66,63.97,8.41,4.02,14.24,64.06,8.47,43.26
"113",163.9,5.49,89.62,70.67,44.01,6.53,2.78,7.59,45.08,5.45,35.86
"114",172.55,7.15,91.63,69.9,56.93,7.49,2.64,10.6,49.33,8.44,40.4
"115",171.58,7.65,89.22,80.23,53.68,7.42,4.97,14.11,57.4,12.14,44.84
"116",163.03,8.36,84.81,67.16,65.61,3.89,2.46,5.95,38.91,5.67,28.72
"117",177.76,7.52,95,81.71,58.17,7.99,4.57,13.24,59.88,14.4,44.4
"118",159.69,7.35,83.77,66.2,61.68,3.68,1.97,5.57,33.71,5.23,24.24
"119",186.44,6.39,98.26,80.79,57.93,6.98,2.49,9.15,51.39,8.98,37.13
"120",161.11,5.86,82.87,84.12,62.31,5.23,3.49,11.03,43.1,15.48,38.01
"121",166.05,7.49,85.51,75.52,69.24,5.53,2.53,8.18,46.2,7.58,32.22
"122",159.73,5.23,84.67,81.55,61.7,5.22,3.32,9.95,44.08,12.35,32.86
"123",165.15,7.32,84.45,75.88,64.71,4.69,2.26,6.89,46.01,5.77,25.83
"124",174.23,6.46,93.96,82.45,64.22,5.42,4.78,10.88,52.66,15.01,37.95
"125",167.55,7.89,82.47,84.86,55.85,6.44,5.33,11.46,62.06,13.24,36.93
"126",168.97,7.24,89.18,84.93,63.05,5.47,3.46,9.54,40.58,13.72,34.03
"127",172.84,9.08,87.33,79.73,57.14,4.92,2.85,6.94,40.17,8.52,27.68
"128",182.28,6.49,92.67,97.2,37.78,10.07,5.08,18.95,68.88,17.8,52.62
"129",179.8,10.2,93.83,85.97,56.74,5.57,3.65,10.95,45.65,11.15,36.51
"130",162.85,6.72,86.65,82,67.52,4.74,2.86,9.38,39.35,9.83,33.53
"131",163.88,5.89,89.35,81.95,55.27,6.59,2.75,10.62,48.63,10.11,39.94
"132",157.88,5.28,77.97,83.56,60.24,6.22,3.05,11.05,47.56,9.81,36.85
"133",164.12,8.17,86.06,86.14,62.28,6.53,3.15,11.35,48.4,10.94,38.93
"134",161.41,5.71,83.34,77.63,68.02,4.4,2.44,6.09,38.19,5.32,24.55
"135",164.72,5.57,87.35,77.19,60.77,7.67,3.87,12.43,63.1,11.3,48.89
"136",166.39,6.03,90.58,82.16,53.1,8.39,2.59,12.67,49.32,9.47,48.69
"137",160.66,4.56,84.72,78.57,65.92,7.42,3.72,10.57,58.27,8.34,42.71
"138",160.69,7.56,88.32,78.92,52.9,8.1,2.67,10.27,48.86,5.39,42.34
"139",157.7,4.82,82.62,74.47,59.72,9.12,1.98,9.18,53.6,3.71,50.98
"140",172.85,8.11,92.52,71.01,69.58,10.04,4.3,11.61,54.02,7.06,56.67
"141",164.79,6.77,86.73,72.2,51.77,10.56,2.95,9.81,56.86,4.42,61.51
"142",181.14,8.75,99.54,72.59,52.47,14.36,3.96,16.99,66.42,7.25,73.11
"143",176.93,6.72,95.5,65.8,61.4,9.08,2.82,8.29,49.52,2.13,57.48
"144",171.27,7.97,92.34,64.16,73.12,10.55,2.66,7.88,43.11,2.96,56.63
"145",183.24,8.07,97.49,73.18,39.77,13.84,3.22,14.46,62.87,4.24,67.47
"146",182.28,9.14,97.9,74.71,48.32,16.64,3.6,16.98,68.35,3.98,71.64
"147",178.82,6.12,97.54,50.91,59.89,8.04,1.92,7.13,36.16,1.85,54.52
"148",187.84,10.72,103.78,66.46,33.42,12.8,3.05,11.46,57.54,2.12,74.98
"149",201.02,11.74,110.17,75.48,57.07,17.6,3.32,16.64,76.33,3.94,74.95
"150",197.38,13.76,116.04,67.78,28.5,10.18,3.42,7.89,51.98,2.68,57.3
"151",222.56,17.78,132.04,56.68,50.04,11.13,2.24,7.41,48.34,2.73,71.59
"152",229.32,26.24,126.95,70.08,68.59,14.21,3.51,14.94,62.29,3.28,69.8
"153",231.73,30.43,121.11,58.58,57.42,8.14,1.93,6.27,41.72,2.46,47.92
"154",216.67,22.95,119.3,67.7,44.68,11.7,2.97,10.83,53.87,2.81,63.78
"155",213.9,22.99,118.2,63.88,61.23,10.32,2.02,8.75,44.98,2.36,59.76
"156",181.94,13.11,102.36,59.07,88.31,6.63,2.2,6.91,37.78,2.56,40.04
"157",175.47,10.74,98.44,68.55,50.32,9.27,2.73,9.3,49.08,3.23,47.44
"158",181.35,10.38,97.87,68.35,64.49,7.46,2.14,8.89,43.6,3.25,42.77
"159",160.02,7.42,92.98,65.6,70.99,7.64,2.11,8.73,43.89,4.28,41.51
"160",172.3,5.76,96.16,58.75,73.58,5.41,1.79,6.32,33.93,2.71,31.86
"161",161.41,9.07,86.83,65.67,51,7.08,2.43,7.07,47.42,4.21,41.68
"162",166.95,6.17,91.09,59.85,68.02,5.21,2.08,6.38,40.06,3.92,29.07
"163",166.68,6.06,92.5,63.95,52.48,5.18,2.25,5.62,39.44,3.85,30.83
"164",173.35,7.83,90.64,77.14,33.34,7.57,2.16,10.66,44.2,6.91,44.48
"165",142.13,6.18,80.69,66.59,69.43,5.26,3.28,9.76,44.12,6.91,38.35
"166",181.07,8.58,99.91,72.86,41.21,5.67,2.22,7.01,37.9,4.85,30.98
"167",157.49,7.41,89.09,67.87,69.82,4.71,3.06,10.46,37.36,7.69,37.46
"168",166.52,7.36,94.25,73.61,52.8,5.75,2.41,9.89,43.9,7.3,39.57
"169",166.77,6.97,93.33,71.45,70.46,5.41,3.41,12.46,44.78,11.09,40.28
"170",149.87,5.54,84.08,69.97,74.58,4,2.43,8.56,31.43,7.84,31.64
"171",156.98,5.9,86.37,78.49,57.91,5.65,3.76,11.35,41.72,11.1,36.16
"172",158.29,5.27,86.61,72.52,68.79,3.69,2.48,6.68,33.15,5.85,26.97
"173",160.15,6.19,82.47,84.84,58.96,6.96,4.27,16.06,48.32,15.64,45.76
"174",155.78,5.18,82.73,72.97,64.96,4.33,1.7,5.83,32.45,6.95,28.17
"175",176.36,8.56,98.29,96.23,39.19,8.23,4.72,16.94,59.28,19.59,47.48
"176",160.9,6.51,87.02,81.68,65.75,4.89,4.93,11.12,42.78,14.28,37.47
"177",167.1,6.32,91.13,83.17,62.19,5.33,4.57,11.18,46.66,12.95,38.23
"178",152.2,5.84,80.23,79.42,66,3.46,3.2,7.87,32.73,10.3,30.47
"179",155.68,6.65,81.36,78.64,65.55,5.14,4.24,10.3,40.27,11.84,32.5
"180",163.24,7.74,82.8,86.44,58.69,6.21,4.73,13.23,53.67,14.65,42.1
"181",164.6,6.56,87.24,82.08,66.84,4.78,4.1,10.7,36.3,10.91,33.92
"182",155.52,5.67,79.37,80.73,64.82,4.28,3.75,9.42,34.62,12.88,30.54
"183",160.35,7.74,86.83,87.68,60.07,7.36,5.91,14.58,53.63,12.96,45.7
"184",151.29,5.46,82,81.44,54.82,5.76,3.85,10.05,42.89,9.62,37.03
"185",150.07,5.42,77.96,77.34,66.31,3.88,2.78,7.93,40.86,8.79,30.5
"186",152.14,5.62,79.69,75.18,69.87,4.2,2.6,8.71,41.74,9.79,33.47
"187",158.47,6.85,87.32,75.85,67.6,4.9,3.23,8.74,36.99,11.51,36.95
"188",163.5,5.47,85.33,74.24,71.33,6.1,4.05,10.92,47,10.6,41.08
"189",171.61,7.8,92.02,87.78,42.37,11.14,3.95,13.35,56.06,12.33,56.16
"190",157.08,8.44,84.03,69.09,72.85,5.59,3.46,9.79,48.77,8.14,41.31
"191",163.18,7.06,83.45,82.08,45.7,13.21,4.43,16,65.38,10.83,66.01
"192",160.43,7.89,82.35,79.84,58.57,10.39,3.85,16.38,62.37,7.65,56.46
"193",165.24,8.6,89.17,82.8,44.41,13.33,4.01,18.25,62.73,7.91,62.06
"194",161.72,8.19,82.24,73.56,46.87,10.34,2.93,13.32,51.96,5.1,54.2
"195",173.22,6.53,93.35,73.74,60.27,13.51,5.65,19.54,69.76,9.62,73.04
"196",161.88,5.89,89.16,63.94,71.51,7.89,1.86,6.39,43.94,2.51,45.54
"197",167.39,8.1,95.13,63.08,55.28,8.88,2.92,7.63,45.21,2.97,53.33
"198",167.56,7.25,89.1,64.79,56.91,12.47,3.44,10.82,57.07,2.65,67.77
"199",181.65,7.38,100.32,75.45,35.76,16.17,3.3,13.98,69.89,3.23,75.61
"200",167.28,5.58,95.61,67.12,67.01,13.99,3.64,15.89,60.49,3.81,71.46
"201",177.09,9.02,99.61,69.12,38.88,11.82,3.1,11.76,53.8,2.89,63.29
"202",183.34,7.33,105.82,61.56,71.8,8.9,2.25,11.18,51.29,2.63,62.04
"203",184.83,7.12,104.2,51.22,71.04,5.07,1.1,4.99,31.75,2.1,38.94
"204",173.11,7.98,95.45,64.28,67.31,11.93,2.39,9.7,55.13,2.74,63.31
"205",164.21,10.38,90.48,65.41,80.37,11.94,2.76,15.61,56.13,3.37,67.74
"206",164.73,6.33,93.58,65.45,47.16,13.15,3.26,12.01,53.14,2.8,73.76
"207",170.84,8.8,91.71,65.68,63.68,12.8,3.26,16.22,59.32,4.99,70.13
"208",178.25,8.01,95.29,72.25,27.82,11.26,2.79,11.88,54.52,4.23,65.87
"209",170.86,8.76,94.69,63.18,66.25,9.4,3.2,11.71,54.74,4.68,53.98
"210",179.93,7.26,102.5,71.55,36.56,8.58,2.15,9.49,49.21,4.14,52.55
"211",171.46,7.67,98.58,67.3,60.87,8.16,2.71,10.99,47.75,5.47,47.86
"212",186.67,6.32,107.12,59.64,70.03,7.12,2,7.26,43.43,4.33,46.35
"213",176.96,7.58,99.29,73.43,70.3,11,3.7,16.36,65.56,12.98,63.72
"214",173.23,8.82,96.85,61.91,73.68,3.95,1.51,5.09,39.7,3.88,30.78
"215",158.69,5.77,89.02,64.85,75.98,4.66,2.24,6.52,39.72,4.01,30.02
"216",171.68,6.22,96.27,74.43,44.97,5.81,1.94,8.91,53.21,9.01,38.49
"217",173.06,9.07,97.55,74.39,53.31,5.96,2.3,11.31,63.38,9.76,42.06
"218",161.24,6.11,85.16,70.8,58.94,5.46,2.49,9.51,41.42,9.18,37.61
"219",171.54,6.09,94.77,72.49,53.43,4.53,2.48,9,38.05,8.01,40.2
"220",161.77,6.46,85.45,70.06,67.04,3.69,2.2,7.75,32.85,7.32,29.69
"221",174.47,6.37,97.46,70.25,73.88,3.64,2.26,7.7,31.73,9.42,29.53
"222",158.66,4.54,83.31,66.51,60.44,3.26,1.85,6.11,28.69,4.11,25.86
"223",163.65,6.39,91.41,83.11,54.4,5.48,2.76,12.65,50.9,12.73,38.95
"224",159.23,5.39,88.84,71.29,69.35,3.38,2.26,6.15,31.49,7.59,25.7
"225",159.86,5.23,86.44,75.49,70.83,3.46,2.57,6.72,33.2,9.99,27.84
"226",160.61,6.67,82.08,80.98,58.4,4.77,2.55,10.41,39.95,14.72,35.82
"227",157.46,5.23,83.63,83.52,50.77,5.28,4.26,11,43.78,9.71,35.45
"228",168.85,8.52,95.22,88.27,46.79,6.79,3.84,13.8,47.74,16.03,42.62
"229",149.94,5.2,80.28,77.88,63.29,2.9,1.79,6.1,34.51,8.82,25.63
"230",162.14,5.91,85.59,82.23,57.97,5.08,2.55,9.92,44.71,11.76,33.96
"231",161.36,7.02,84.68,90.75,48.17,6.1,3.02,13.62,58.59,15.25,42.15
"232",156.82,7.07,81.53,86.58,61.21,4.88,2.53,10,46.65,11.02,37.38
"233",165.19,7.66,89.2,84.8,65.69,4.55,2.49,8.64,34.53,10.82,30.58
"234",143.54,5.15,74.51,80.32,67.11,3.04,1.86,6.86,31.78,11.2,23.68
"235",156.63,4.8,81.85,80.23,60.69,4.88,2.22,8.65,42.6,12.64,33.1
"236",153.04,6.82,81.97,82.88,65.35,4.71,2.9,10.45,41.32,15.6,36.67
"237",162.56,6.73,85.01,85,53.94,6.54,3.39,13.26,50.48,14.86,38.6
"238",162.78,7.33,86.98,88.96,59.43,7.71,3.83,13.73,48.3,16.1,45.79
"239",156.23,6.99,81.67,78.11,68.5,5.41,2.7,8.34,37.68,10.52,33.46
"240",161.4,6.49,91.11,85.06,60.55,9.29,4.59,16.7,58.03,16.15,50.93
"241",158.36,5.78,83.38,76.39,69.7,6.08,2.49,9.33,42.05,10.16,41.47
"242",163.81,7.75,86.18,74.23,65.6,6.38,2.33,8.83,41.2,7.11,28.15
"243",166.34,6.22,89.93,76.42,65.73,9.17,2.46,11.98,46.91,8.31,54.62
"244",167.58,7.8,91.82,83.68,50.48,12.72,3.9,20.02,62.75,10.7,59.46
"245",166.71,6.31,92.27,67.62,71.4,6.84,1.97,7.44,41.51,3.85,35.47
"246",164.25,7.13,89.29,64.36,67.37,9.72,2.44,10.53,48.43,3.74,52.77
"247",161.82,6.28,85.41,81.7,29.86,12.82,2.47,12.26,50.42,5.62,65.32
"248",172.43,8.47,96.78,72.67,63.46,14,3.75,19.19,61.67,7.54,66.49
"249",163.31,5.79,83.6,73.59,49.41,10.95,3.46,12.2,51.33,4.67,62.46
"250",178.76,7,98.63,69.09,51.04,15.21,4.54,16.35,66.99,4,60.38
"251",169.35,7.52,90.86,66.75,59.66,13.18,2.89,13.03,50.91,2.44,72.83
"252",173.25,7.34,94.36,70.03,47.46,13.7,3.68,15.5,57.13,4.63,53.78
"253",181.39,8.06,97.52,69.53,41.95,19.4,4.21,21.74,72.64,4.1,81.09
"254",194.52,8.44,108.68,55.33,48.75,5.92,1.81,4.55,35.23,1.89,44.05
"255",191.33,10.2,107.23,63.17,44.3,13,3.18,11.18,54.4,2.56,65.68
"256",195.64,13.49,107.08,66,55.24,10.2,2.76,7.99,43.84,2.42,45.98
"257",205.55,14.61,113.39,80.86,33.44,19.76,4.66,22.2,72.79,6.99,77.13
"258",194.36,16.61,105.51,69.57,47.86,15.12,4.65,17.77,70.65,6.34,69.77
"259",203.44,17.08,111.9,54.85,68.34,8.72,1.85,6.26,37.88,2.07,51.34
"260",206.26,19.86,110.44,64.21,81.89,10.06,3.22,8.47,47.48,2.57,43.97
"261",182.67,15.3,95.42,62.12,66.44,9.13,2.8,8.6,48.17,4.08,45.11
"262",179.82,11.78,97.78,66.21,39.27,9,2.43,8.6,46.78,3.55,49.49
"263",165.7,10.13,90.38,69.77,71.45,13.78,6.06,18.02,73.26,11.35,68.46
"264",168.03,9.59,86.89,60.84,83.86,6.19,1.85,5.29,35.12,2.78,32.69
"265",169.43,8.91,91.59,59.44,65.11,8,2.16,7.11,43.26,4.69,35.97
"266",163.16,7.91,85.51,65.65,69.7,7.33,2.7,8.53,40.38,6.46,40.71
"267",164.59,7.9,88.16,64.09,38.15,5.23,2.05,5.56,35.99,4.16,27.56
"268",171.27,9.17,87.03,60.63,70.83,7.59,2,6.96,38.54,4.15,38.52
"269",159.94,7.87,88.61,60.19,71.07,4.46,1.5,5.26,36.72,3.57,24.95
"270",169.98,6.96,96.96,63.92,68.34,5.71,2.72,6.38,40.83,5.81,28.94
"271",151.73,5.99,80.03,66.83,61.45,4.82,2.19,7.18,42.55,5.47,27.64
"272",154.42,7.05,80.53,69.48,63.2,5.09,2.51,8.33,39.92,7.81,34.4
"273",158.4,6.78,76.46,74.17,57.49,6.37,3.09,9.7,54.81,9.44,38.51
"274",150.37,5.41,78.85,69.29,76.46,4.07,2.15,6.2,31.16,7.94,27.59
"275",165.24,9.05,87.03,70.86,66.39,5.14,2.45,7.69,42.34,8.22,27.26
"276",150.85,6.91,82.27,75.34,72.85,4,2.68,7.25,29.43,12.2,30.53
"277",155.81,6.34,78.92,72.66,73.15,4.7,2.28,7.43,34.31,9.5,28.93
"278",142.41,5.15,72.75,74.91,72.83,4.27,2.35,7.55,31.55,13.16,31.07
"279",155.73,5.94,77.75,70.17,68.24,4.34,1.73,5.17,36.52,6.14,21.8
"280",160,5.81,83.79,81.41,56.24,6.47,3.27,11.15,45.38,13.29,39.47
"281",158.61,4.44,82.13,82.03,57.83,5.44,2.39,9.77,44.36,13.13,32.09
"282",153.84,8.85,76.42,85.76,59.42,5,3.43,11.48,42.42,15.24,38.39
"283",144.75,6.96,74.58,78.54,70.95,3.02,1.88,6.29,27.95,11.73,24.72
"284",159.76,5.88,79.61,84.44,66,4.64,3.34,10,38.48,15.13,36.54
"285",151.92,6.56,76.52,82.87,62.88,4.35,2.76,9.66,36.46,12.28,33.27
"286",157.76,6.66,79.27,86.52,59.81,6.5,4.28,14.47,49.34,14.58,42.32
"287",150.55,5.39,74.7,77.5,68.73,2.84,2.41,6.5,28.2,10,24.6
"288",146.25,6.04,75.49,81.72,62.93,5.43,2.88,10.43,45.12,8.93,34.57
"289",156.21,6,82.82,82.61,55.83,6.4,3.06,12.72,58.16,14.46,42.28
"290",154.28,6.95,80.29,83.09,64.45,5.99,4.01,13.15,55.23,12.83,42.04
"291",154.24,4.15,80.05,75.74,76.55,5.01,2.23,7.79,36.84,11.47,32.93
"292",162.17,6.65,78.64,92.27,46.07,9.58,3.52,17.19,59.38,14.22,55.42
"293",156.94,7.34,79.4,86.41,50.98,7.11,3.13,13.51,43.54,14.3,47.8
"294",153.86,6.71,71.02,83.03,66.06,7.47,3.86,16.36,47.55,15.56,49.69
"295",146.37,7.89,73.55,73.16,62.66,5.38,1.72,6.05,39.68,4.28,32.25
"296",157.9,5.15,79.6,78.82,55.61,10.7,2.76,15.83,56.46,10.2,62.39
"297",162.33,7.42,85.08,70.51,49.52,6.12,1.77,6.99,38.45,4.61,39.47
